,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
3003,30559274262,"""

Too funny

corey suggests a famous people section from moline or historical signicance section, but that is just too funny.  These guys will probably tell you about some confederate hero or plantation owner or other backwood gomer.  """"What do you call a person from Moline who has all their teeth?  An obvious no-good no-account yankee LIAR who just rode in.""""  Hmmm... not a very funny joke, but then again, racism isn't funny either, and this page is completely racist.  Backward, ignorant, hillbilly, hee-haw, and racist.""",0,0,0,0,1,1
3062,31132009920,"It's 

Go Go Jewranger
Go Go Jewranger
Harrasing Children 
Having 41 year old gay sex 
Go Go Jewranger 
Go Go Jewranger 
He's an otunka wannabe
He gets pipi hurt 
What a Jewranger
Hates ed bullshit 
Go Go Jewranger!
YOU'RE NOT ASIAN
GO....GO.......JEWRANGER!!!",1,0,1,0,0,1
3071,31229678583,"Abrech is a stupid jew rat. and i hate jews. swastikas are cool. 

you stupid big nosed smelly jew. go away and stop sending me warnings. ... you fuckhead.",1,0,1,0,1,1
3136,31812045700,your fucking face. faggots,1,0,1,0,1,1
3283,33522359169,"ur so immature fr3nzi3,im 17 and ur not evn debating.ur a 6 year old baby and im like an adult,nobody likes you.anyway,everybody doesn't like any fat assholes like u.grown-ups fight like a man,i fight using words like swearin' like eminem dos in is songs.u don't evn have a brain,shit wat a crazy guy.
user:dark-hooded smoker",1,0,1,0,1,1
3335,34165489216,"RE:Knowledge Generation Bureau 

Why the fuck are you gay? what kinda faggot deletes information, regardless of how useful it is? I think people like you should be analy raped by satan's thorny cock for all eternity for trying to keep the masses ignorant, you elitest piece of shit. Trying to keep people from knowing stuff? I hope jimmy wales has you thrown in the bottom of river where you can drown while being attacked by pirrahnas.",1,0,1,0,1,1
3338,34213452128,"""

 Ah, typical drunken Irish bitch. If you even are a bitch. You might even be a man, or an...intersexual thing. 

The Irish are anti-Semites who side with the Arabian imperialists in order steal the Jewish homeland. You scum recognize the fake """"State of Palestine,"""" an illegal Arabian colonial entity on Jewish land.""",1,0,1,0,1,1
3454,35534517786,"also do not vandilise streets when you feel like it because Phillip Trueman is a homosexual.
.",1,0,0,0,0,1
3461,35600625810,nigger paedophile nigger paedophile,1,1,1,0,1,1
3497,36031907766,Yeah thats a really good way to get a life! Fucking fag!,1,0,1,0,1,1
3584,37034549097,NEUTRALHOMER HATES BLACK PEOPLE! AND SO DOES GOGO DODO!,1,0,0,0,0,1
3631,37513076937,Haha. Go ahead. Stupid American.,1,0,1,0,1,1
3653,37701583504,Intro should say that the Tea Party are a white far right racist nazi scum group.,1,0,0,0,0,1
4239,43975888928,"MEEEEEEEEOOOWWW!!!! SHHHHHHHHHHHHHHHH!!!!

 Uh, there are two ways, why you do erased my comment about WW2, that holocaust was brutally slaying of Jews and not gays/Gypsys/Slavs/anyone...

1 - If you are anti-semitian, than shave your head bald and go to the skinhead meetings!

2 - If you doubt words of the Bible, that homosexuality is a deadly sin, make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals!

3 - First and last warning, you fucking gay - I won't appreciate if any more nazi shwain would write in my page! I don't wish to talk to you anymore!

Beware of the Dark Side!",1,0,1,0,1,1
4276,44473389884,I hate you. U are a homosapian. Breasts,1,0,0,0,1,1
4414,46039861560,"Sup, You crackheads!  Just kidding.  This is my user page, here I say fart fuck shit damn ass nigger jew spick and kyke a lot.  Go fuck yourself if you don't like it.",1,0,1,0,1,1
4558,47402738238,JD IS A RAGING HOMOSEXUAL FAGGOT WHO SHOULD BE EATEN ALIVE BY A PACK OF RABID BABOONS.,1,0,1,1,1,1
4656,48485165237,"I feel sorry for you, small penised foreign dog! Defending absolute scum like Mao, Jiang, and Deng ensures you are a brainwashed fag lost in China's past.

It will take 200 years before Chinese people from the Mainland become clean, respectable, wise human beings.

Right now they are money worshipping slaves whose minds are lost to propaganda and distorted logic.

How sad! Such a great civilization destroyed by a band of gangsters!",1,0,1,0,1,1
4847,50567420301,"You're a stupid cunt 

Fuck you dumb arse, your mum has a hairy cunt and I hope and pray that you die, no, fuck that, I wish you would die, if I had three wishes, one of them would be to have you dead, and the others would be so that everyone you knew hated your cunt like face.",1,1,1,1,1,1
4950,51720678779,"Overly apolegetic to Muslims? 

Looks like Pakistani sock puppets are very active. Guess they are done with Mukhtaran Mai.",0,0,0,0,1,1
4969,51949399789,MAYBE ITS BECAUSE YOU ARE A GAY,1,0,0,0,1,1
5200,54385730123,Listen to me nigga I am your Lord ! Go to cotton plantation and work for Proud South!,1,0,1,0,1,1
5237,54740217178,"I am a typical Democrat. I stand for social and economic justice. You guys apparently do not. Rather, you stand for the sockputtery of   basically, why do you hate Jesus and believe the Ten Commandents are errant? I acutually object to adultery, but you as Republicans are dedicated to sock-pupptery, and sleeping-around is your version of Good-By-Jesus. Shall I call you a homosexual slut? Clearly, you belive adultery is a good wiki thing.",1,0,1,0,1,1
5368,56067090232,why am I not aloud to put whatever i want on my user talk page? thats pretty damn gay if you ask me.,1,0,1,0,0,1
5428,56675736664,"YOU SUCK IT!!! AS YOU'RE USED TO SUCK PHALLUS, NAZI HINDUIST LIKE HITLER!!!",1,1,1,0,1,1
5756,60124600726,u r sooooooooooooo gay,1,0,0,0,1,1
5819,60806604700,is a gay scientology ass kissing baby fucker|  i do it for the lulz desudesudesudesudesudesudesudesudesudesudesudesudesudesu,1,0,1,0,1,1
6052,63320266308,Viral is a faggot mother fucker in the shit of the crap stritting.,1,0,1,0,1,1
6106,63754467132,"Back to the kitchen for you! 

Suck my d***, leftist feminazi cunt.",1,0,1,0,1,1
6171,64297878974,(well duh i mean its gay who cares about his sexuality)penis penis penis i cannot be silenced,1,0,0,0,0,1
6232,64837267031,"To whoever said most people in arab are homosexuals or other bad things:

Go to D**n F***in' Hell you motherf***in' d**n son of a d**n f***ing c**t of a b**ch.",1,0,1,0,0,1
6300,65463406668,"You dummasses, I DID SAY THE DAMN RIGHT STUFF BUT YOU BASTARDS ACT LIKE IM MAKING MY OWN STORIES DUMMASSES",1,0,1,0,1,1
6370,66238088428,"intervei CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE AND ARREST ME...SAN DIEGO CALIFORNIA, CHULA VISTA, FUCKING GET YOUR INFORMATION RIGHT FAGGOT SHITHEAD!!i CAN STILL POST WITH THIS COMPUTER...I SAID BLOCK ME, COME THE FUCK DOWN HERE",1,1,1,0,1,1
6474,67471472466,"Honestly, I don't mind 

An that fact that you view Jew as a personal attack implies that it's rude. Although, you are a Christian, so what more can I expect. Jew. If you ban me I'll just go back to ed, it's fine with me. But he's not an Australian, so fix it up and get your facts right. Wikifag, go get a life.",1,0,0,0,1,1
6772,70445199444,"""Dbachmann, you are a motherfuckin' sonofabitch. Your ancestor Hitler had much more respect for Indians. He balked about Aryans.... We are Aryans. And your fuckin' racism won't work here. You BASTARD !!!!! Indians Are Real Great People. It's only Europeans who corrupted them !!!! Fuckin' sonofabitch, where are you from ? Zurich ? That is you are a SLAVE,  a SLAVE of AMERICA !!!! Rascal !!!! Madarchod !!!! Behenchod !!!!! Bhadva !!!!!!! RANDVA !!!!! Chutmarike !!!!! YOU FUCKIN' GAY !!!! SUCKER HOMO !!!!! ROT IN HELL, YOU SISTERFUCKER !!!! HECK, THEY WON'T TAKE YOU EVEN THERE !!!

'

KRAZY BHADVA WANTS TO LICK YOUR ASS

'

ACTUALLY KRAZY GAY SUCKA

''''''

DBACHMANN IS BHADANI'S REAL FATHER

'

DBACHMANN WANTS TO LICK YOUR ASS

''''''


[[User_talk:Bhadani|SAMIR SCOPE IS A SUCKER]]'''

''''


'''[[User_talk:Bhadani|KRAZY BHADVA WANTS TO SUCK YOUR  DICK]]'''

'


[[User_talk:Bhadani|LOST BHADVA WANTS TO LICK BHADVA-NI'S ASS]]'''

''''


'''[[Group Sex|DBACHMANN & HIS WH",1,1,1,0,1,1
6806,70830541345,"Ungrateful monkey men 

How dare they take arms against the dutch and british who spent years trying to free them from japanese tyranny, and after turning their series of islands into a civlized society. Fuck em, they should all be nuked.58.107.179.146",1,0,1,0,1,1
6822,70938841750,"Pedophiles, sex criminals, Imperial Japan, Nazi Germany and other such degenerate ilk also are minority views and for good reason.  And by the way, showcasing your stalker skills and googling my name is quite retarded and anti-social behavior.  Please stop and seek therapy cause you need it.",1,0,0,0,1,1
6893,71631230751,"GET OUT! 

I have no doubt that you have the blood of an irish muslim. You have that dirty patato grabbing manner which is common to these animals. If you are a roman catholic or a muslim please get out my country. Thanks, user:craig451 08:45 12 August 2006 (UTC)",1,0,1,0,1,1
7070,73462319582,"are you the tosser behind the closerlookonsyria? - you are a fascist Putinist shill  and liar - you fucking idiot - you think  shabiha nothing to do with houla, russia nothing to do with mh 17, assad regime nothing to do with ghouta - you fucking fascist moron",1,0,1,0,1,1
7213,74946024923,"A jew going around wikipedia editing against Arabs everywhere, FUCK YOU!",1,1,1,0,0,1
7214,74965788744,"you're so idi.o.t, so st.u.p.id guy, fu.c.k.i.n.g portuguese, i ha.te the portugueses",1,1,1,0,1,1
7258,75300774244,Eat shit you fucking arse rapping jew fucking arab. I'LL KILL YOU!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1,1,1,1,1,1,1
7631,79281577108,thanks for the warm welcome u flippin homosexual gay fruitcake,1,0,0,0,0,1
7678,79588110715,"no worries 

We will use another account, and will not stop until wikipedia stops pushing the evil, sin filled gay agenda",1,0,0,0,0,1
7731,80173106552,"Why 

Are you such an idiot ? Afl is for homos .",1,0,1,0,1,1
7964,82439377574,igger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nigger Nig,1,0,1,0,0,1
8351,86344982609,"You are gay or antisemmitian? 

Archangel WHite Tiger

Meow! Greetingshhh!

Uh, there are two ways, why you do erased my comment about WW2, that holocaust was brutally slaying of Jews and not gays/Gypsys/Slavs/anyone...

1 - If you are anti-semitian, than shave your head bald and go to the skinhead meetings!

2 - If you doubt words of the Bible, that homosexuality is a deadly sin, make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals!

3 - First and last warning, you fucking gay - I won't appreciate if any more nazi shwain would write in my page! I don't wish to talk to you anymore!

Beware of the Dark Side!",1,0,1,0,1,1
8521,87979870721,"Where do you get off deleting that? it took me ages to do and you jus come and delete it, all the while leaving your shitty MTV bollox up, you fucking Americans are nothing but a bunch of fucking hicks. Your presidents a fucking redneck hick and I cant wait to see the day when that bastard gets a nuke up his arse!!!",1,0,1,0,1,1
8527,88048829002,"You're a fucking nerd. Don't you have anything else to do in life than play video games? This is what I think of all speedrunners. And you're a fag trying to brag about yourself in an older edit of Nightfire, cuz while some think you might be amazing, others like me think you have no life and are probably NEVER gunna get laid. But you're fine with that right? You'd much rather be making speedruns. 75.69.241.174",1,0,1,0,1,1
8857,91503451955,"Hello, you Indian cannibal and child molester. 

The vandal doesn't care about D&D; articles, he vandalizes because he doesn't like being libeled and harassed.",1,0,0,0,1,1
8865,91598689752,"Bible Society 

I`m fed up with Catholics as you,using Wikipedia as proselytist media.
I will write articles exposing cruel persecutiuon by catholics against bible societies.",1,0,0,0,0,1
8940,92487713961,"YO

I don't appreciate you pushing me as a black person fool! Get off my nuts, stop acting like some ho.",1,0,1,0,1,1
9196,95012651407,"Knob Jockey==
You Gay For Deleting Factory: The Musical  

==",1,0,0,0,0,1
9197,95031461676,"""Just face the truth: you can't escape it!==
User:Arilang1234 didn't edit your foul, slimy racist template, you loser. I suggest that YOU stop pretending that Manchus are ethnically Chinese. How about YOU face the undeniable truth?

And how about YOU stop making false accusations about other users?   

Following the blocking of the above user, I am very surprised that you haven't been blocked from editing Wikipedia as well given that your Manchu ethnicity template itself (as created by you) is also a blatant violation of Wikipedia policy. 96.9.180.213  

Barnstar
  The Monkey's Barnstar For pushing forward fringe views on Wikipedia, especially your foul, slimy, racist view that Manchus are ethnically Chinese. You have proven yourself to be more barbaric than this monkey. Here's a banana.

Congratulations for acting like a monkey!
Wow, so you have managed to earn The Monkey's Barnstar. You must be highly barbaric then. 209.162.35.64  

Stop making false accusations
Congratulations for calling User 77.182.67.105 the """"h word"""". Well I have news for you: User 77.182.67.105 is not ethnically Chinese. So just face the truth and stop name-calling, you racist Manchu! Otherwise, I will get my meatpuppets to stop you in your tracks!   

==""",0,0,1,0,1,1
9295,95913339221,"Throw the Jew down the well! 

So my country can be free!",0,0,0,0,0,1
9470,97612749555,I am a fucking retarded nigger,1,0,1,0,1,1
9517,98007166873,More hrassment from the Jew-hater Whaledad.,1,0,0,0,0,1
9565,98408372178,"fuck you 

i hate you why do you delete pages do you have a life are you gay if you make the page marring manz you hall be cool however at the moment you are gay",1,0,1,0,1,1
9621,99069202116,I hat en.wikipedia.com all the people that work for this web page suck balls. You MO FO's that cant get any girls so u go after men u homo's,1,0,1,0,1,1
