,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
1916,19824586850,"Fuck Wikipedia and fuck all the leftist, liberal, faggot-loving Jew Communists that run this fucked up piece of shit website!",1,1,1,0,1,1
1951,20178120620,"stop reverting my edit
your so fucken gay get a fucken life your fagot or go get laid or something",1,1,1,0,1,1
2030,21133004205,SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURITYFUCK HOMELAND SECURI,1,1,1,0,0,0
2263,23253543943,"Are you a fucking dick-head?  People like you should be prohibited from editing Wikipedia.  You should first learn some history, and stop spreading your propaganda.",1,1,1,0,1,0
2484,25355767531,"Fuck you Orange Suede Sof 

Fuck you Orange Suede Sofa, ClueBot, ClueBotNG, Megizue, Dreaded Walrus and J. Delanoy. You wanna be cyber bullied for personal attacks? Anonymous hates you.",1,1,1,0,1,0
2492,25442796560,"Hello 

go fuck yourself, kid.  Adults are talking.",1,1,1,0,1,0
2592,26380880335,Fuck you you stupid and gay bastard who thinls you are cool. Go to hell!,1,1,1,0,1,1
2675,27290618876,"You can suck my ass, you stupid asshole. THIS was a personal attack. But maybe you're really a stupid asshole. You can not see the difference between a reliable source and review crap. Furthermore: YOU were a part of the edit war!",1,1,1,0,1,0
2817,28827699610,"What a faggot.  The man above says he's an adult, but is a fucking homosexual.",1,1,1,0,1,1
2852,29087839005,"Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fat spotty cunt 
 Your an ugly fat cunt ==== Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fat spotty cunt 
 Your an ugly fat cunt 

 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fat spotty cunt 
 Your an ugly fat cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fat spotty cunt 
 Your an ugly fat cunt 

 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fat spotty cunt 
 Your an ugly fat cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fat spotty cunt 
 Your an ugly fat cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fat spotty cunt 
 Your an ugly fat cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fat spotty cunt 
 Your an ugly fat cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fat spotty cunt 
 Your an ugly fat cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fat spotty cunt 
 Your an ugly fat cunt 

 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fucking fat ugly cunt 
 Your a fat cunt 
 Your a fat spotty cunt 
 Your an ugly fat cunt",1,1,1,0,1,0
2895,29628108049,YOU GUYS ARE FUCKIN CRAZY YOU STUPID SHIT LICK YOUR OWN PIMPLY FAT UGLY BUM!!!! YOU ARE CRAZY YOU ALL GAYS AND FAGGOTS IF NOT MALE THAN LESBIAN I KNOW YOU GONNA DELETE ME OR DO YOUR STUPID BLOCK THING TO ME NOW BUT I DON'T CARE YOU ARE SINGLE AND HAVE THE WEIRDEST BOOBS OKAY I HATE YOU BITCHES!,1,1,1,0,1,0
2917,29869781272,stupid dumb shit goddamn mother fucker,1,1,1,0,1,0
2940,30056235263,Suck my dick and swallow,1,1,1,0,1,0
2968,30315752711,you suck donkey balls fag,1,1,1,0,1,0
3230,32895402228,"Fuck You 

fuck you and wikipedia there is no reason those pages should be deleted so block me from editing but you can suck a dick stupid bitch ass fuckin fagget eat shit and die",1,1,1,0,1,0
3461,35600625810,nigger paedophile nigger paedophile,1,1,1,0,1,1
3499,36046888697,"hey dickbreath 

ur retarded",1,1,0,0,1,0
3816,39425396928,".

fuck you. learn how to type a url correctly you jerkoff",1,1,1,0,1,0
4019,41713856696,"BRAPPAGE 

fucker don't u dare delte shalamo i will com to ur house and chop your penis off and make your parents eat it and the i will send you an earlobe in the post and keep sending you parts of a body and will then come and slice and dice you into 500,000 pieces and then make your family eat you body in a  chili.
SO DON't DELETE IT OR THT WILL HAPPEN YOU FAT SHIT",1,1,1,0,1,0
4027,41829589551,because you are a tweeting cunt flap!!!!!!!,1,1,1,0,1,0
4180,43275806350,"Personal Attack Number 2 

This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker!!",1,1,1,1,1,0
4274,44436541736,Fuck you you dumb sack of shit,1,1,1,0,1,0
4426,46178011570,you're a fucking shit,1,1,1,0,1,0
4559,47404093980,"That's it. 

Final straw. We're doing this. You and me. I will be flying to the city of your residence and burning down your domicile. Do you have nice things? Because I'm going to fuck them. I'm going to fuck you. 98.194.201.42",1,1,1,0,1,0
4768,49695056348,You mother fucker!126.12.157.168,1,1,1,0,1,0
4847,50567420301,"You're a stupid cunt 

Fuck you dumb arse, your mum has a hairy cunt and I hope and pray that you die, no, fuck that, I wish you would die, if I had three wishes, one of them would be to have you dead, and the others would be so that everyone you knew hated your cunt like face.",1,1,1,1,1,1
4909,51271194736,"Hello, I think you are a fuckwad. Eat shit and die?",1,1,1,1,1,0
4966,51918227531,"FUCK YOU ALL YOU LOSERS WHO AHVE NOTHING BETTER TO DO 

FYUCK YOU WHY DONT U STOP ME FROM EDITING ALREADY",1,1,1,0,1,0
4974,51982356971,WIKIPEDIA SUCKS!! IT SHOULD BURN!!,1,1,1,0,0,0
